id,x,y,z,diameter,f,lsx,lsy,lsz,rsx,rsy,rsz
1,0.1,9.4,2.55,1.216552506,0.166666667,0,10,2.55,0.2,8.8,2.55
2,0.5,7,2.55,1.216552506,0.166666667,0.4,7.6,2.55,0.6,6.4,2.55
3,0.5,4.6,2.55,1.216552506,0.166666667,0.4,5.2,2.55,0.6,4,2.55
4,0.1,2.8,2.55,1.216552506,0.166666667,0,3.4,2.55,0.2,2.2,2.55
5,1.8,9.4,2.55,1.216552506,0.166666667,1.7,10,2.55,1.9,8.8,2.55
6,2,7,2.55,1.216552506,0.166666667,1.9,7.6,2.55,2.1,6.4,2.55
7,2,4.6,2.55,1.216552506,0.166666667,1.9,5.2,2.55,2.1,4,2.55
8,1.8,2.8,2.55,1.216552506,0.166666667,1.7,3.4,2.55,1.9,2.2,2.55
9,3.1,9.4,2.55,1.216552506,0.166666667,3,10,2.55,3.2,8.8,2.55
10,3.5,7,2.55,1.216552506,0.166666667,3.4,7.6,2.55,3.6,6.4,2.55
11,3.5,4.6,2.55,1.216552506,0.166666667,3.4,5.2,2.55,3.6,4,2.55
12,3.1,2.8,2.55,1.216552506,0.166666667,3,3.4,2.55,3.2,2.2,2.55
13,4.7,9.4,2.55,1.216552506,0.166666667,4.6,10,2.55,4.8,8.8,2.55
14,4.9,7,2.55,1.216552506,0.166666667,4.8,7.6,2.55,5,6.4,2.55
15,4.9,4.6,2.55,1.216552506,0.166666667,4.8,5.2,2.55,5,4,2.55
16,4.7,2.8,2.55,1.216552506,0.166666667,4.6,3.4,2.55,4.8,2.2,2.55
17,0.7,8.5,2.55,0.608276253,0.166666667,0.65,8.2,2.55,0.75,8.8,2.55
18,0.9,8.5,2.55,0.608276253,0.166666667,0.85,8.2,2.55,0.95,8.8,2.55
19,1.1,8.5,2.55,0.608276253,0.166666667,1.05,8.2,2.55,1.15,8.8,2.55
20,3.7,8.5,2.55,0.608276253,0.166666667,3.65,8.2,2.55,3.75,8.8,2.55
21,3.9,8.5,2.55,0.608276253,0.166666667,3.85,8.2,2.55,3.95,8.8,2.55
22,4.1,8.5,2.55,0.608276253,0.166666667,4.05,8.2,2.55,4.15,8.8,2.55
23,0.7,6.1,2.55,0.608276253,0.166666667,0.65,5.8,2.55,0.75,6.4,2.55
24,0.9,6.1,2.55,0.608276253,0.166666667,0.85,5.8,2.55,0.95,6.4,2.55
25,1.1,6.1,2.55,0.608276253,0.166666667,1.05,5.8,2.55,1.15,6.4,2.55
26,3.7,6.1,2.55,0.608276253,0.166666667,3.65,5.8,2.55,3.75,6.4,2.55
27,3.9,6.1,2.55,0.608276253,0.166666667,3.85,5.8,2.55,3.95,6.4,2.55
28,4.1,6.1,2.55,0.608276253,0.166666667,4.05,5.8,2.55,4.15,6.4,2.55
